full_appl_no	fda_app_number	docs_date	pdf_url	Approval	Brand
BLA017881	017881	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/017881s010lbl.pdf	NA	DRAXIMAGE®
BLA017881	017881	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/017881s016lbl.pdf	NA	DRAXIMAGE®
BLA018780	018780	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/18780scm080_humalog_lbl.pdf	NA	HUMULIN®
BLA018780	018780	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/18780s086,18781s080lbl.pdf	NA	NA
BLA018780	018780	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/018780s120lbl.pdf	NA	HUMULIN®
BLA018780	018780	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/018780s153lbl.pdf	1994	HUMULIN®
BLA018781	018781	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/18781scm074_humulin_lbl.pdf	NA	HUMULIN®
BLA018781	018781	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/18781slr076_humulin_lbl.pdf	NA	HUMULIN®
BLA018781	018781	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/18780s086,18781s080lbl.pdf	NA	NA
BLA018781	018781	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/018781s025,060,065,085lbl.pdf	NA	NA
BLA018781	018781	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018781s114lbl.pdf	NA	HUMULIN®
BLA018781	018781	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/018781s121lbl.pdf	NA	HUMULIN®
BLA018781	018781	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/018781s118s122lbl.pdf	1982	HUMULIN®
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/19717s41lbl.pdf	NA	NA
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/19717slr050_humilin_lbl.pdf	NA	HUMULIN®
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/19717scm054_humulin_lbl.pdf	NA	NA
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/19717s060lbl.pdf	NA	HUMULIN ®
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/018780s95,018781s89,019717s69,020100s32lbl.pdf	NA	HUMULIN®
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/019717s094lbl.pdf	NA	HUMULIN®
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019717s098s101lbl.pdf	1989	HUMULIN®
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019717s099lbl.pdf	NA	HUMULIN®
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019717s098s101lbl.pdf	1989	HUMULIN®
BLA019717	019717	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/019717s133lbl.pdf	1989	HUMULIN®
BLA019938	019938	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/19-938S30lbl.pdf	NA	NovoPen®
BLA019938	019938	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/019938s037lbl.pdf	NA	NovoPen®
BLA019938	019938	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/019938s063,019959s066,019991s067lbl.pdf	NA	Nordisk®
BLA019938	019938	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/019938s064,019959s067,019991s068,020986s055lbl.pdf	NA	NovoPen®
BLA019959	019959	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/19-938S30lbl.pdf	NA	NovoPen®
BLA019959	019959	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/019938s063,019959s066,019991s067lbl.pdf	NA	Nordisk®
BLA019959	019959	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/019938s064,019959s067,019991s068,020986s055lbl.pdf	NA	NovoPen®
BLA019959	019959	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019959s073lbl.pdf	NA	®
BLA019959	019959	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/019959s075lbl.pdf	NA	®
BLA019991	019991	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/19-938S30lbl.pdf	NA	NovoPen®
BLA019991	019991	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/19938s32lbl.pdf	NA	NovoPen®
BLA019991	019991	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/19938s33lbl.pdf	NA	NovoPen®
BLA019991	019991	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019991s074lbl.pdf	NA	®
BLA020280	020280	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/20280scs040_genotropin_lbl.pdf	NA	  ®
BLA020280	020280	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/020280s064lbl.pdf	1995	GENOTROPIN®
BLA020280	020280	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020280s071lbl.pdf	1987	GENOTROPIN®
BLA020725	020725	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/020725s003lbl.pdf	2009	CREON®
BLA020725	020725	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/020725s006lbl.pdf	2009	CREON®
BLA020725	020725	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/020725s007lbl.pdf	2009	CREON®
BLA020725	020725	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020725s011lbl.pdf	2009	CREON®
BLA020986	020986	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-986SE3003_NovoLog_prntlbl.pdf	NA	NA
BLA020986	020986	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2002/20986SE8-011_novolog_lbl.pdf	NA	NovoLog®
BLA020986	020986	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/20986s019,21172s013lbl.pdf	NA	NovoLog®
BLA020986	020986	2020-03-23	http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/20986scp023_novolog_lbl.pdf	NA	NovoLog®
